rollout/ep_len_mean,time/total_timesteps,custom/reward_speed,custom/status_collision_mean,custom/status_speed_avg,time/time_elapsed,time/fps,custom/status_overtake_max,time/iterations,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction
293.48,8880128,0.6247239798788904,0.0,37.48343879273342,6567,588,0,236,526.0063791,0.2,76.38992043733597,0.0005,0.8025063276290894,5410,-7.01430748552084,0.005341231,61.230125427246094,-0.002755130016885232,32.51985549926758,0.063427734375
288.85,8896512,0.6317160511379086,0.0,37.902963068274516,6594,588,0,237,516.05069641,0.2,72.69001628160477,0.0005,0.8073665499687195,5420,-7.007995513081551,0.008123328,60.35695266723633,-0.0030747697135666387,34.16277313232422,0.066552734375
295.88,8912896,0.6673281778140633,0.0,40.03969066884379,6622,588,0,238,542.4901458,0.2,76.90668637752533,0.0005,0.809690535068512,5430,-7.009308850765228,0.010846762,60.74974822998047,-0.0041649624799902085,34.91935348510742,0.068878173828125
251.49,8929280,0.6517099552958682,0.0,39.1025973177521,6651,588,0,239,474.20493227,0.2,79.34443795681,0.0005,0.7947415709495544,5440,-7.023163662850857,0.0062539717,61.4709358215332,-0.0030323553241032642,37.52210235595703,0.0562255859375
253.28,8945664,0.6404284206318064,0.0,38.42570523790838,6679,588,0,240,460.8907571300001,0.2,93.5601822257042,0.0005,0.7744687795639038,5450,-7.022544522583485,0.0074248416,61.40464782714844,-0.0037480662005691555,39.40277099609375,0.063751220703125
257.26,8962048,0.6689416772528727,0.0,40.136500635172354,6707,588,0,241,473.39623574999996,0.2,87.35558618307114,0.0005,0.7949675917625427,5460,-7.000087974965572,0.0049729226,60.2255744934082,-0.003505804135784274,40.618919372558594,0.06947021484375
242.63,8978432,0.6727823081629487,0.0,40.36693848977692,6735,588,0,242,458.65450063,0.2,96.84475710391999,0.0005,0.7620995044708252,5470,-7.004424254596233,0.0072226077,60.874473571777344,-0.001850136636858224,50.57072448730469,0.08623046875
257.71,8994816,0.6316003374075769,0.0,37.89602024445462,6763,588,0,243,470.65149159999993,0.2,91.92482528686523,0.0005,0.7870253324508667,5480,-7.021872773766518,0.0065223062,61.88226318359375,-0.0028086085101676874,40.264163970947266,0.076177978515625
269.94,9011200,0.6654941190339119,0.0,39.92964714203471,6792,588,0,244,491.39649006,0.2,84.16483165025711,0.0005,0.8003618717193604,5490,-7.033055983483791,0.0069107795,61.69720458984375,-0.0022443863708758727,38.90373611450195,0.070062255859375
272.34,9027584,0.6484156755657502,0.0,38.90494053394502,6819,588,0,245,495.4790375,0.2,104.39846036434173,0.0005,0.7614688277244568,5500,-7.044610111415386,0.005451491,61.37266540527344,-0.0033407682785764337,47.675437927246094,0.055804443359375
